fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.0122,0.01325,0.94775,0.00054,2.67232,0.80964,7.88684,0.3713,1.59943,0.01966,0.60146,0.42029,0.0,0.09843,0.38022,0.0,0.0,0.0,0.62895,0.0,0.90412,0.0,0.0
0.0,0.01059,0.01225,0.9768,0.00056,2.99462,0.82321,6.43234,0.45402,1.47326,0.0144,0.67824,0.40095,0.0,0.10278,0.48103,0.0,0.0,0.0,0.6317,0.0,0.92491,0.0,0.0
0.0,0.01131,0.01325,0.9571,0.00049,2.89912,0.822,7.08959,0.36294,1.63101,0.02097,0.64549,0.43408,0.0,0.09019,0.42245,0.0,0.0,0.0,0.6407,0.0,0.99052,0.0,0.0
0.0,0.01138,0.01325,0.97077,0.00048,3.56611,0.71689,8.24083,0.46865,1.5506,0.01808,0.66345,0.55683,0.0,0.07649,0.46852,0.0,0.0,0.0,0.56351,0.0,0.8667,0.0,0.0
0.0,0.01235,0.01352,0.96451,0.00045,2.93737,0.82704,7.38378,0.36875,1.58158,0.01866,0.67397,0.44322,0.0,0.09225,0.42254,0.0,0.0,0.0,0.6694,0.0,0.99068,0.0,0.0
0.0,0.01465,0.01564,0.90997,0.00051,3.17872,0.85643,5.53875,0.3611,1.40928,0.01809,0.47004,0.38676,0.0,0.1393,0.36772,0.0,0.0,0.0,0.32677,0.0,0.8862,0.0,0.0
0.0,0.01389,0.01359,0.98,0.00054,3.79616,0.73644,8.22714,0.24909,2.03488,0.01798,0.63918,0.41924,0.0,0.14108,0.37187,0.0,0.0,0.0,0.43453,0.0,0.94915,0.0,0.0
0.0,0.01472,0.01482,0.98,0.00055,4.05483,0.76962,7.52638,0.34022,1.88592,0.01707,0.53712,0.36414,0.0,0.12321,0.37927,0.0,0.0,0.0,0.42135,0.0,0.99226,0.0,0.0
0.0,0.01469,0.01625,0.98,0.00055,3.71901,0.75011,7.94356,0.34022,1.80534,0.01841,0.63918,0.38682,0.0,0.13238,0.33357,0.0,0.0,0.0,0.44112,0.0,1.0,0.0,0.0
0.0,0.01413,0.01535,0.95684,0.00058,3.31762,0.77693,7.62516,0.34022,1.69035,0.01809,0.60483,0.45282,0.0,0.13192,0.35289,0.0,0.0,0.0,0.41682,0.0,0.86391,0.0,0.0
0.0,0.00984,0.01238,0.97495,0.00058,3.07698,0.79596,6.80984,0.46561,1.46982,0.01487,0.65397,0.41618,0.0,0.09795,0.46658,0.0,0.0,0.0,0.58917,0.0,0.92462,0.0,0.0
0.0,0.01,0.01187,0.97904,0.00058,3.08071,0.81314,6.63928,0.44706,1.51166,0.01515,0.66756,0.39782,0.0,0.1,0.46527,0.0,0.0,0.0,0.62895,0.0,0.95408,0.0,0.0
0.0,0.01129,0.01294,0.94679,0.00065,2.67849,0.76599,6.61122,0.4402,1.5,0.01032,0.68898,0.43118,0.0,0.1,0.53398,0.0,0.0,0.0,0.76096,0.0,0.93381,0.0,0.0
0.0,0.01086,0.01343,0.98,0.00047,2.66014,0.80979,7.38378,0.33487,1.65736,0.01691,0.66708,0.50354,0.0,0.09301,0.42266,0.0,0.0,0.0,0.66088,0.0,1.0,0.0,0.0
